20140804:10:00:00.000873,1601.17,109312	 flag: 1
20140804:10:00:00.319748,1647.18,626646	 flag: 1
20140804:10:00:00.321940,1913.68,509967	 flag: 1
20140804:10:00:00.326377,1773.27,219051	 flag: 1
20140804:10:00:00.332425,948.81,266318	 flag: 1
20140804:10:00:00.337674,1967.59,243430	 flag: 1
20140804:10:00:00.340441,1776.03,6343	 flag: 1
20140804:10:00:00.351070,913.20,281117	 flag: 1
20140804:10:00:00.356103,1739.32,93486	 flag: 1
20140804:10:00:00.356392,1608.68,213694	 flag: 1
20140804:10:00:00.356898,1601.32,106514	 flag: 1
20140804:10:00:00.384754,1598.95,590572	 flag: 1
20140804:10:00:00.393254,1744.80,259262	 flag: 1
20140804:10:00:00.398688,1669.78,713783	 flag: 1
20140804:10:00:00.410071,962.05,302586	 flag: 1
20140804:10:00:00.424298,1643.78,14662	 flag: 1
20140804:10:00:00.430760,1844.46,280670	 flag: 1
20140804:10:00:00.436669,1704.52,271404	 flag: 1
20140804:10:00:00.439145,1706.56,514396	 flag: 1
20140804:10:00:00.444734,908.18,69586	 flag: 1
20140804:10:00:00.459060,922.57,535936	 flag: 1
20140804:10:00:00.468763,1639.99,675969	 flag: 1
20140804:10:00:00.470923,827.61,732375	 flag: 1
20140804:10:00:00.482391,1615.60,166862	 flag: 1
20140804:10:00:00.505998,1698.70,512442	 flag: 1
20140804:10:00:00.516223,1602.68,732572	 flag: 1
20140804:10:00:00.518110,963.61,287571	 flag: 1
20140804:10:00:00.523912,1737.54,722727	 flag: 1
20140804:10:00:00.531195,1736.34,143319	 flag: 1
20140804:10:00:00.546981,1650.97,529838	 flag: 1
20140804:10:00:00.549453,1628.05,630249	 flag: 1
20140804:10:00:00.561498,1652.20,260246	 flag: 1
20140804:10:00:00.575026,1614.38,614832	 flag: 1
20140804:10:00:00.584202,936.25,726374	 flag: 1
20140804:10:00:00.587115,881.08,130360	 flag: 1
20140804:10:00:00.594429,1699.84,37473	 flag: 1
20140804:10:00:00.599688,1734.18,59206	 flag: 1
20140804:10:00:00.612042,1748.29,452405	 flag: 1
20140804:10:00:00.613730,1684.54,51677	 flag: 1
20140804:10:00:00.613750,1156.36,58928	 flag: 1
20140804:10:00:00.617429,924.43,209204	 flag: 1
20140804:10:00:00.625345,2001.92,72006	 flag: 1
20140804:10:00:00.636329,1626.27,371578	 flag: 1
20140804:10:00:00.637244,1670.00,229592	 flag: 1
20140804:10:00:00.645640,1882.62,315136	 flag: 1
20140804:10:00:00.647207,1268.12,126307	 flag: 1
20140804:10:00:00.647942,1625.15,736731	 flag: 1
20140804:10:00:00.655675,1663.00,421442	 flag: 1
20140804:10:00:00.659320,1917.73,736618	 flag: 1
20140804:10:00:00.668813,1614.29,481260	 flag: 1
20140804:10:00:00.676291,863.39,698723	 flag: 1
20140804:10:00:00.676434,1784.13,679245	 flag: 1
20140804:10:00:00.688944,1620.79,67210	 flag: 1
20140804:10:00:00.703842,1669.41,188618	 flag: 1
20140804:10:00:00.707317,928.62,603314	 flag: 1
20140804:10:00:00.710253,1734.18,555251	 flag: 1
20140804:10:00:00.717291,1960.27,569214	 flag: 1
20140804:10:00:00.721097,1756.06,317923	 flag: 1
20140804:10:00:00.736596,1664.24,210845	 flag: 1
20140804:10:00:00.737927,1621.86,405836	 flag: 1
20140804:10:00:00.782407,947.64,440703	 flag: 1
20140804:10:00:00.789762,1800.93,469170	 flag: 1
20140804:10:00:00.800823,1952.10,671509	 flag: 1
20140804:10:00:00.800852,1205.39,73486	 flag: 1
20140804:10:00:00.801994,2166.94,472804	 flag: 1
20140804:10:00:00.820779,1694.26,455895	 flag: 1
20140804:10:00:00.821783,1468.41,549795	 flag: 1
20140804:10:00:00.837853,924.95,607643	 flag: 1
20140804:10:00:00.856351,1808.56,714170	 flag: 1
20140804:10:00:00.862826,1607.59,454356	 flag: 1
20140804:10:00:00.864078,1897.72,150100	 flag: 1
20140804:10:00:00.864079,1203.91,271371	 flag: 1
20140804:10:00:00.870284,1829.39,689795	 flag: 1
20140804:10:00:00.876862,1710.94,745236	 flag: 1
20140804:10:00:00.888203,1724.89,108021	 flag: 1
20140804:10:00:00.922500,1608.95,53946	 flag: 1
20140804:10:00:00.930774,1597.95,602173	 flag: 1
20140804:10:00:00.949356,1751.88,142886	 flag: 1
20140804:10:00:00.964738,1835.65,470299	 flag: 1
20140804:10:00:00.968575,1743.28,499358	 flag: 1
20140804:10:00:00.989356,1854.33,636220	 flag: 1
20140804:10:00:01.006342,1644.73,318256	 flag: 1
20140804:10:00:01.052005,1682.95,180157	 flag: 1
20140804:10:00:01.069274,1701.71,152477	 flag: 1
20140804:10:00:01.071468,1638.93,30076	 flag: 1
20140804:10:00:01.078066,1731.60,672340	 flag: 1
20140804:10:00:01.109736,916.03,551736	 flag: 1
20140804:10:00:01.130547,895.65,8236	 flag: 1
20140804:10:00:01.141004,1620.00,614459	 flag: 1
20140804:10:00:01.177019,1769.16,204642	 flag: 1
20140804:10:00:01.192771,1610.55,86622	 flag: 1
20140804:10:00:01.196240,1656.30,641623	 flag: 1
20140804:10:00:01.211470,914.09,595846	 flag: 1
20140804:10:00:01.216643,1675.33,284560	 flag: 1
20140804:10:00:01.240671,1609.20,593493	 flag: 1
20140804:10:00:01.249210,900.63,87229	 flag: 1
20140804:10:00:01.268035,1623.70,150424	 flag: 1
20140804:10:00:01.283733,924.06,600016	 flag: 1
20140804:10:00:01.303016,1716.21,687102	 flag: 1
20140804:10:00:01.307939,1666.42,405535	 flag: 1
20140804:10:00:01.311835,885.07,12684	 flag: 1
20140804:10:00:01.366813,914.22,236106	 flag: 1
20140804:10:00:01.378998,1783.14,271706	 flag: 1
20140804:10:00:01.379268,1669.34,676674	 flag: 1
20140804:10:00:01.398571,915.10,532360	 flag: 1
20140804:10:00:01.420660,1651.19,442891	 flag: 1
20140804:10:00:01.423129,1678.94,570064	 flag: 1
20140804:10:00:01.430438,1697.47,602280	 flag: 1
20140804:10:00:01.431001,1648.68,59932	 flag: 1
20140804:10:00:01.443981,923.74,666621	 flag: 1
20140804:10:00:01.453498,1688.77,638260	 flag: 1
20140804:10:00:01.472047,861.47,610015	 flag: 1
20140804:10:00:01.506451,1662.21,250103	 flag: 1
20140804:10:00:01.517707,1730.40,681880	 flag: 1
20140804:10:00:01.565126,917.09,301016	 flag: 1
20140804:10:00:01.567015,840.85,652552	 flag: 1
20140804:10:00:01.587233,1722.77,711535	 flag: 1
20140804:10:00:01.591434,1629.62,692709	 flag: 1
20140804:10:00:01.623030,1599.61,67113	 flag: 1
20140804:10:00:01.661019,1623.41,718505	 flag: 1
20140804:10:00:01.662873,895.35,712198	 flag: 1
20140804:10:00:01.684710,0.00,678562	 flag: 1
20140804:10:00:01.694993,1690.44,311316	 flag: 1
20140804:10:00:01.703949,922.15,487883	 flag: 1
20140804:10:00:01.708486,1651.00,674011	 flag: 1
20140804:10:00:01.714437,810.59,707984	 flag: 1
20140804:10:00:01.753465,928.42,29757	 flag: 1
20140804:10:00:01.761304,1603.89,676426	 flag: 1
20140804:10:00:01.795607,901.28,262936	 flag: 1
20140804:10:00:01.813576,935.78,513892	 flag: 1
20140804:10:00:01.840674,1771.32,317637	 flag: 1
20140804:10:00:01.841142,1658.59,474529	 flag: 1
20140804:10:00:01.843251,1651.47,594433	 flag: 1
20140804:10:00:01.858072,945.28,158837	 flag: 1
20140804:10:00:01.976533,1601.19,561345	 flag: 1
20140804:10:00:02.000524,1704.71,526856	 flag: 1
20140804:10:00:02.021582,1612.40,483179	 flag: 1
20140804:10:00:02.034056,2142.85,377967	 flag: 1
20140804:10:00:02.039210,899.99,624708	 flag: 1
20140804:10:00:02.040317,2063.63,138201	 flag: 1
20140804:10:00:02.048094,1626.54,586320	 flag: 1
20140804:10:00:02.052302,1638.71,30976	 flag: 1
20140804:10:00:02.061258,948.90,611487	 flag: 1
20140804:10:00:02.075779,917.83,455921	 flag: 1
20140804:10:00:02.076235,869.17,691178	 flag: 1
20140804:10:00:02.078665,1639.53,49410	 flag: 1
20140804:10:00:02.089914,1736.15,47365	 flag: 1
20140804:10:00:02.090827,1684.24,372821	 flag: 1
20140804:10:00:02.096459,1847.40,584243	 flag: 1
20140804:10:00:02.100651,1790.62,474373	 flag: 1
20140804:10:00:02.101533,1858.00,92328	 flag: 1
20140804:10:00:02.104471,854.48,298382	 flag: 1
20140804:10:00:02.117558,1690.26,267318	 flag: 1
20140804:10:00:02.141253,1797.27,567166	 flag: 1
20140804:10:00:02.142129,1693.89,362194	 flag: 1
20140804:10:00:02.143321,1629.19,587932	 flag: 1
20140804:10:00:02.146986,943.36,125741	 flag: 1
20140804:10:00:02.151193,1859.82,458200	 flag: 1
20140804:10:00:02.162433,903.83,637407	 flag: 1
20140804:10:00:02.166010,1775.56,348727	 flag: 1
20140804:10:00:02.169096,886.90,533352	 flag: 1
20140804:10:00:02.182436,936.03,665591	 flag: 1
20140804:10:00:02.184766,1679.04,657673	 flag: 1
20140804:10:00:02.188795,794.95,632375	 flag: 1
20140804:10:00:02.190937,1684.08,684636	 flag: 1
20140804:10:00:02.191075,928.47,254251	 flag: 1
20140804:10:00:02.197837,924.50,462411	 flag: 1
20140804:10:00:02.216499,1907.67,405134	 flag: 1
20140804:10:00:02.219384,1807.67,376218	 flag: 1
20140804:10:00:02.223084,2283.55,243325	 flag: 1
20140804:10:00:02.226194,1736.34,301708	 flag: 1
20140804:10:00:02.231226,1846.41,748157	 flag: 1
20140804:10:00:02.237505,1809.44,262425	 flag: 1
20140804:10:00:02.248111,959.90,412462	 flag: 1
20140804:10:00:02.249054,1666.69,499576	 flag: 1
20140804:10:00:02.251092,1610.84,632351	 flag: 1
20140804:10:00:02.256438,934.80,110389	 flag: 1
20140804:10:00:02.260782,1659.63,594888	 flag: 1
20140804:10:00:02.279279,919.91,82699	 flag: 1
20140804:10:00:02.312883,1626.08,735969	 flag: 1
20140804:10:00:02.317042,1643.67,73111	 flag: 1
20140804:10:00:02.323918,1630.04,692050	 flag: 1
20140804:10:00:02.346072,1602.38,501131	 flag: 1
20140804:10:00:02.349710,891.94,228249	 flag: 1
20140804:10:00:02.351593,861.01,177704	 flag: 1
20140804:10:00:02.355644,1601.17,619679	 flag: 1
20140804:10:00:02.363544,949.36,677334	 flag: 1
20140804:10:00:02.366355,1607.73,444996	 flag: 1
20140804:10:00:02.366747,853.13,526678	 flag: 1
20140804:10:00:02.367819,1760.98,434437	 flag: 1
20140804:10:00:02.372488,841.56,587188	 flag: 1
20140804:10:00:02.374245,961.83,695539	 flag: 1
20140804:10:00:02.384273,1666.38,29455	 flag: 1
20140804:10:00:02.419897,1640.96,343990	 flag: 1
20140804:10:00:02.424496,1959.91,532450	 flag: 1
20140804:10:00:02.431087,1649.55,228769	 flag: 1
20140804:10:00:02.432103,1930.26,219937	 flag: 1
20140804:10:00:02.433847,945.68,61165	 flag: 1
20140804:10:00:02.437507,1781.61,289963	 flag: 1
20140804:10:00:02.437992,1706.77,685812	 flag: 1
20140804:10:00:02.440846,1678.81,39802	 flag: 1
20140804:10:00:02.442719,1745.07,462766	 flag: 1
20140804:10:00:02.449108,929.70,394687	 flag: 1
20140804:10:00:02.449607,953.19,611350	 flag: 1
20140804:10:00:02.457432,958.28,570351	 flag: 1
20140804:10:00:02.466231,858.60,539485	 flag: 1
20140804:10:00:02.468824,1734.62,215714	 flag: 1
20140804:10:00:02.469418,886.34,409725	 flag: 1
20140804:10:00:02.474863,1730.08,126047	 flag: 1
20140804:10:00:02.482684,1964.78,246316	 flag: 1
20140804:10:00:02.483125,1632.79,597396	 flag: 1
20140804:10:00:02.494944,1827.56,125946	 flag: 1
20140804:10:00:02.495773,1852.75,511299	 flag: 1
20140804:10:00:02.505825,951.50,428470	 flag: 1
20140804:10:00:02.509876,851.31,440953	 flag: 1
20140804:10:00:02.511903,1612.39,97006	 flag: 1
20140804:10:00:02.512144,1648.88,723805	 flag: 1
20140804:10:00:02.513081,1887.43,134947	 flag: 1
20140804:10:00:02.515393,957.47,2964	 flag: 1
20140804:10:00:02.520785,934.59,355549	 flag: 1
20140804:10:00:02.521426,1614.76,454036	 flag: 1
20140804:10:00:02.522631,1642.02,546814	 flag: 1
20140804:10:00:02.526729,1765.73,645295	 flag: 1
20140804:10:00:02.529452,1630.00,526599	 flag: 1
20140804:10:00:02.543726,894.63,608423	 flag: 1
20140804:10:00:02.544710,958.95,436181	 flag: 1
20140804:10:00:02.544946,937.97,729284	 flag: 1
20140804:10:00:02.546319,1613.97,294594	 flag: 1
20140804:10:00:02.565881,954.04,258129	 flag: 1
20140804:10:00:02.566134,1632.53,687415	 flag: 1
20140804:10:00:02.569797,901.65,199160	 flag: 1
20140804:10:00:02.571884,1907.33,232258	 flag: 1
20140804:10:00:02.573345,1618.98,295227	 flag: 1
20140804:10:00:02.574524,1759.91,474028	 flag: 1
20140804:10:00:02.577992,911.35,503584	 flag: 1
20140804:10:00:02.591876,939.93,85037	 flag: 1
20140804:10:00:02.599521,1710.98,179212	 flag: 1
20140804:10:00:02.605848,1600.01,201134	 flag: 1
20140804:10:00:02.612044,1663.82,351522	 flag: 1
20140804:10:00:02.612741,957.77,617386	 flag: 1
20140804:10:00:02.617045,1644.74,117963	 flag: 1
20140804:10:00:02.625544,1621.12,20071	 flag: 1
20140804:10:00:02.634580,1736.23,608870	 flag: 1
20140804:10:00:02.647459,1752.49,672792	 flag: 1
20140804:10:00:02.664751,1643.95,548736	 flag: 1
20140804:10:00:02.664810,1685.84,3991	 flag: 1
20140804:10:00:02.668043,1621.15,614841	 flag: 1
20140804:10:00:02.679803,1921.38,554203	 flag: 1
20140804:10:00:02.689252,855.81,258560	 flag: 1
20140804:10:00:02.692477,1663.02,405076	 flag: 1
20140804:10:00:02.695563,1739.65,93011	 flag: 1
20140804:10:00:02.700341,829.39,325399	 flag: 1
20140804:10:00:02.705566,903.09,354072	 flag: 1
20140804:10:00:02.708161,1672.20,334029	 flag: 1
20140804:10:00:02.710520,1613.65,411494	 flag: 1
20140804:10:00:02.712024,1604.11,483535	 flag: 1
20140804:10:00:02.724223,1831.15,176164	 flag: 1
20140804:10:00:02.726987,1673.86,299571	 flag: 1
20140804:10:00:02.741049,1841.83,119461	 flag: 1
20140804:10:00:02.757931,904.96,593128	 flag: 1
20140804:10:00:02.759639,923.82,493668	 flag: 1
20140804:10:00:02.767305,1632.51,44215	 flag: 1
20140804:10:00:02.773120,1754.92,264559	 flag: 1
20140804:10:00:02.776540,1630.78,218955	 flag: 1
20140804:10:00:02.781027,1886.73,499466	 flag: 1
20140804:10:00:02.786188,845.02,167137	 flag: 1
20140804:10:00:02.793650,1771.30,243234	 flag: 1
20140804:10:00:02.800157,861.38,163280	 flag: 1
20140804:10:00:02.800607,1612.97,654827	 flag: 1
20140804:10:00:02.809336,1830.56,88030	 flag: 1
20140804:10:00:02.811106,1606.23,247164	 flag: 1
20140804:10:00:02.814784,1845.73,102971	 flag: 1
20140804:10:00:02.817150,1640.76,413512	 flag: 1
20140804:10:00:02.830368,1766.06,388120	 flag: 1
20140804:10:00:02.831974,939.57,556640	 flag: 1
20140804:10:00:02.852624,1641.43,673148	 flag: 1
20140804:10:00:02.853795,2061.32,171102	 flag: 1
20140804:10:00:02.868424,1656.37,46005	 flag: 1
20140804:10:00:02.870910,1742.25,653176	 flag: 1
20140804:10:00:02.873931,961.77,109018	 flag: 1
20140804:10:00:02.874221,1742.85,623775	 flag: 1
20140804:10:00:02.880910,1994.19,16488	 flag: 1
20140804:10:00:02.881464,1628.44,676305	 flag: 1
20140804:10:00:02.884445,1767.64,255665	 flag: 1
20140804:10:00:02.891609,961.12,373683	 flag: 1
20140804:10:00:02.897110,1774.94,281181	 flag: 1
20140804:10:00:02.902404,1744.61,734983	 flag: 1
20140804:10:00:02.918816,1739.90,398487	 flag: 1
20140804:10:00:02.923997,2046.66,599020	 flag: 1
20140804:10:00:02.924920,1673.81,511216	 flag: 1
20140804:10:00:02.928779,1660.15,589697	 flag: 1
20140804:10:00:02.936195,1976.08,54686	 flag: 1
20140804:10:00:02.938800,904.51,652190	 flag: 1
20140804:10:00:02.941365,1615.15,630783	 flag: 1
20140804:10:00:02.950238,1633.37,576790	 flag: 1
20140804:10:00:02.955524,2012.67,484353	 flag: 1
20140804:10:00:02.959431,1632.07,179336	 flag: 1
20140804:10:00:02.976118,1791.58,578172	 flag: 1
20140804:10:00:02.977797,952.32,223631	 flag: 1
20140804:10:00:02.982400,1624.97,714449	 flag: 1
20140804:10:00:02.987415,1883.30,592640	 flag: 1
20140804:10:00:02.987797,1861.30,410447	 flag: 1
20140804:10:00:02.997344,1870.10,294596	 flag: 1
20140804:10:00:02.998672,1761.14,181339	 flag: 1
20140804:10:00:03.025189,1612.50,631569	 flag: 1
20140804:10:00:03.026869,961.29,193673	 flag: 1
20140804:10:00:03.027941,879.90,561254	 flag: 1
20140804:10:00:03.032672,1700.86,352380	 flag: 1
20140804:10:00:03.055504,828.35,284504	 flag: 1
20140804:10:00:03.099103,1693.02,89334	 flag: 1
20140804:10:00:03.110336,1595.99,444008	 flag: 1
20140804:10:00:03.146803,1653.88,667323	 flag: 1
20140804:10:00:03.149756,927.43,221748	 flag: 1
20140804:10:00:03.178543,1614.73,256100	 flag: 1
20140804:10:00:03.196610,1701.56,715266	 flag: 1
20140804:10:00:03.270210,822.65,82937	 flag: 1
20140804:10:00:03.279350,1914.15,616291	 flag: 1
20140804:10:00:03.300133,902.82,597994	 flag: 1
20140804:10:00:03.323584,1690.76,425784	 flag: 1
20140804:10:00:03.356927,1867.68,549548	 flag: 1
20140804:10:00:03.398313,1751.97,296000	 flag: 1
20140804:10:00:03.404337,877.34,73949	 flag: 1
20140804:10:00:03.440365,1685.22,411824	 flag: 1
20140804:10:00:03.467501,851.04,380265	 flag: 1
20140804:10:00:03.483064,1848.41,391819	 flag: 1
20140804:10:00:03.492728,1608.43,509935	 flag: 1
20140804:10:00:03.494967,1613.76,430192	 flag: 1
20140804:10:00:03.507729,1607.24,2218	 flag: 1
20140804:10:00:03.518971,852.76,40987	 flag: 1
20140804:10:00:03.519291,944.17,496218	 flag: 1
20140804:10:00:03.538598,1616.96,728054	 flag: 1
20140804:10:00:03.600408,905.66,238136	 flag: 1
20140804:10:00:03.606793,963.07,219589	 flag: 1
20140804:10:00:03.614296,1683.49,506992	 flag: 1
20140804:10:00:03.629105,1604.88,210734	 flag: 1
20140804:10:00:03.681347,1788.02,597820	 flag: 1
20140804:10:00:03.691842,1679.56,608626	 flag: 1
20140804:10:00:03.751960,1698.07,492470	 flag: 1
20140804:10:00:03.776234,1659.40,484472	 flag: 1
20140804:10:00:03.777963,1643.37,687910	 flag: 1
20140804:10:00:03.809579,1630.94,645656	 flag: 1
20140804:10:00:03.866657,1604.70,365351	 flag: 1
20140804:10:00:03.876140,1732.86,567695	 flag: 1
20140804:10:00:03.876310,920.56,198466	 flag: 1
20140804:10:00:03.932976,1749.28,7541	 flag: 1
20140804:10:00:03.934427,1695.05,222124	 flag: 1
20140804:10:00:03.940306,866.23,472631	 flag: 1
20140804:10:00:03.964664,1604.94,601626	 flag: 1
20140804:10:00:10.002802,854.07,331033	 flag: 1
20140804:10:00:10.006983,1700.19,409630	 flag: 1
20140804:10:00:10.038316,955.09,454848	 flag: 1
20140804:10:00:10.047164,936.79,195338	 flag: 1
20140804:10:00:10.063776,1780.63,29715	 flag: 1
20140804:10:00:10.093143,937.10,199923	 flag: 1
20140804:10:00:10.137663,914.02,447137	 flag: 1
20140804:10:00:10.151584,952.27,132080	 flag: 1
20140804:10:00:10.191442,1601.62,641304	 flag: 1
20140804:10:00:10.191456,1695.73,622204	 flag: 1
20140804:10:00:10.207613,897.08,103298	 flag: 1
20140804:10:00:10.217451,1687.26,523021	 flag: 1
20140804:10:00:10.250250,1681.27,304862	 flag: 1
20140804:10:00:10.255000,1831.74,737535	 flag: 1
20140804:10:00:10.257691,1867.02,113731	 flag: 1
20140804:10:00:10.258497,931.04,36371	 flag: 1
20140804:10:00:10.261145,1619.77,678493	 flag: 1
20140804:10:00:10.275958,1712.33,248368	 flag: 1
20140804:10:00:10.278754,948.04,621562	 flag: 1
20140804:10:00:10.300640,1666.04,131028	 flag: 1
20140804:10:00:10.314103,1633.41,234522	 flag: 1
20140804:10:00:10.325499,1588.26,574871	 flag: 1
20140804:10:00:10.328989,1766.49,684209	 flag: 1
20140804:10:00:10.354582,918.38,621518	 flag: 1
20140804:10:00:10.366454,1643.43,193308	 flag: 1
20140804:10:00:10.373997,978.41,605409	 flag: 1
20140804:10:00:10.400494,1720.52,182534	 flag: 1
20140804:10:00:10.403105,1771.09,404018	 flag: 1
20140804:10:00:10.422140,1600.20,709450	 flag: 1
20140804:10:00:10.441607,949.78,226786	 flag: 1
20140804:10:00:10.443875,1805.17,92729	 flag: 1
20140804:10:00:10.457911,1626.31,42091	 flag: 1
20140804:10:00:10.479903,1624.01,244387	 flag: 1
20140804:10:00:10.497520,1856.58,415014	 flag: 1
20140804:10:00:10.501598,1619.47,527081	 flag: 1
20140804:10:00:10.503839,868.16,593498	 flag: 1
20140804:10:00:10.516679,1404.78,127513	 flag: 1
20140804:10:00:10.518163,1932.85,91295	 flag: 1
20140804:10:00:10.519372,1635.40,261668	 flag: 1
20140804:10:00:10.519642,1545.92,595814	 flag: 1
20140804:10:00:10.526051,1054.87,30391	 flag: 1
20140804:10:00:10.527272,947.57,541272	 flag: 1
20140804:10:00:10.546353,1613.52,375766	 flag: 1
20140804:10:00:10.547475,1641.77,367815	 flag: 1
20140804:10:00:10.557077,957.15,248473	 flag: 1
20140804:10:00:10.579063,1654.47,531906	 flag: 1
20140804:10:00:10.592360,848284.88,690083	 flag: 1
20140804:10:00:10.592410,1772.64,123106	 flag: 1
20140804:10:00:10.613471,953.16,626274	 flag: 1
20140804:10:00:10.627309,1601.37,693339	 flag: 1
20140804:10:00:10.628044,1722.38,186041	 flag: 1
20140804:10:00:10.643242,1241.56,-715714	 flag: 1
20140804:10:00:10.647681,1668.47,62841	 flag: 1
20140804:10:00:10.648790,953.21,58261	 flag: 1
20140804:10:00:10.655809,1614.12,352936	 flag: 1
20140804:10:00:10.663040,952.93,260301	 flag: 1
20140804:10:00:10.682755,1585.43,696141	 flag: 1
20140804:10:00:10.687851,1613.48,622805	 flag: 1
20140804:10:00:10.692506,1639.52,740268	 flag: 1
20140804:10:00:10.702220,1612.27,406269	 flag: 1
20140804:10:00:10.732527,1943.90,498010	 flag: 1
20140804:10:00:10.736709,1619.90,121305	 flag: 1
20140804:10:00:10.750252,1722.65,748914	 flag: 1
20140804:10:00:10.769155,1732.78,50030	 flag: 1
20140804:10:00:10.775842,1614.76,520168	 flag: 1
20140804:10:00:10.776650,1831.72,562792	 flag: 1
20140804:10:00:10.784961,1615.74,11079	 flag: 1
20140804:10:00:10.785451,1593.95,586039	 flag: 1
20140804:10:00:10.836787,1683.80,279026	 flag: 1
20140804:10:00:10.839433,1634.64,574261	 flag: 1
20140804:10:00:10.848180,1623.06,483804	 flag: 1
20140804:10:00:10.850005,1840.34,637709	 flag: 1
20140804:10:00:10.855410,2032.44,506998	 flag: 1
20140804:10:00:10.880857,1841.44,246270	 flag: 1
20140804:10:00:10.889498,1888.15,502470	 flag: 1
20140804:10:00:10.917089,1704.64,390699	 flag: 1
20140804:10:00:10.933257,1847.21,200741	 flag: 1
20140804:10:00:10.940616,1785.43,308743	 flag: 1
20140804:10:00:10.959396,1736.10,601073	 flag: 1
20140804:10:00:10.959984,1602.57,449371	 flag: 1
20140804:10:00:10.977692,1814.90,112359	 flag: 1
20140804:10:00:10.989362,1587.12,293489	 flag: 1
20140804:10:00:11.002553,1402.23,422570	 flag: 1
20140804:10:00:11.005075,1738.32,707698	 flag: 1
20140804:10:00:11.005469,1598.18,744635	 flag: 1
20140804:10:00:11.024826,1086.12,577813	 flag: 1
20140804:10:00:11.034250,1656.04,731231	 flag: 1
20140804:10:00:11.036503,1698.16,303497	 flag: 1
20140804:10:00:11.040767,894.37,475776	 flag: 1
20140804:10:00:11.046065,1665.11,106539	 flag: 1
20140804:10:00:11.046914,2049.05,244087	 flag: 1
20140804:10:00:11.055547,1616.56,199065	 flag: 1
20140804:10:00:11.062311,-1173464.81,483712	 flag: 1
20140804:10:00:11.065149,1622.44,723633	 flag: 1
20140804:10:00:11.075521,1592.65,398760	 flag: 1
20140804:10:00:11.084074,1682.01,191386	 flag: 1
20140804:10:00:11.086486,956.43,189425	 flag: 1
20140804:10:00:11.090979,1601.58,314988	 flag: 1
20140804:10:00:11.103018,1830.05,705399	 flag: 1
20140804:10:00:11.116448,1732.86,353033	 flag: 1
20140804:10:00:11.123253,1601.42,226940	 flag: 1
20140804:10:00:11.126754,865.52,584115	 flag: 1
20140804:10:00:11.128050,1694.62,386890	 flag: 1
20140804:10:00:11.135074,1963.70,596866	 flag: 1
20140804:10:00:11.141650,1681.32,627961	 flag: 1
20140804:10:00:11.144952,1858.70,123824	 flag: 1
20140804:10:00:11.146920,946.64,105323	 flag: 1
20140804:10:00:11.153692,888.93,15438	 flag: 1
20140804:10:00:11.157351,1729.65,443009	 flag: 1
20140804:10:00:11.172668,920.29,253922	 flag: 1
20140804:10:00:11.176216,1690.85,94837	 flag: 1
20140804:10:00:11.192713,1655.69,457886	 flag: 1
20140804:10:00:11.218379,1875.13,665756	 flag: 1
20140804:10:00:11.219387,1776.17,611382	 flag: 1
20140804:10:00:11.219522,1616.28,707728	 flag: 1
20140804:10:00:11.237459,1643.73,432906	 flag: 1
20140804:10:00:11.244609,1743.65,370901	 flag: 1
20140804:10:00:11.252094,883.00,248540	 flag: 1
